reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c1260112-4664-4081-bcbd-c5cf90e2f500,Muhammad Faisal,https://play-lh.googleusercontent.com/a/ACg8ocJQdlO6MnG8zYyb6tZAZ3K-Lwm5uE_YyaJsUPMxdQh3=mo,Terimakasih kancar jaya,4,0,,2024-02-07 20:49:20,,,
6d373073-0d11-49a6-a6fd-472425504119,Halilintar ST PUSAT,https://play-lh.googleusercontent.com/a/ACg8ocLslkDM32LtAmzXGvuw3sDfhB6956Xwx0mp4SYOJ8QB16o=mo,Gagal masuk,1,0,4.6.0,2024-02-07 20:21:26,,,4.6.0
4e4ee2ac-9d4f-488f-bd8e-39ee7fbb8e2b,adi warta,https://play-lh.googleusercontent.com/a-/ALV-UjVBCOO2E3BCWeEsMmpKagSDtNoRMBsJZQjwup5LfBuqztc,Terima kasih jkn kis telah membantu keluarga kami...,5,0,4.7.0,2024-02-07 19:25:41,,,4.7.0
fec8c113-63b9-4f44-9678-6f42bfabd1bc,SYAFARUDDIN HARAHAP,https://play-lh.googleusercontent.com/a-/ALV-UjXJmaRV7xKIpUBGYQyY4Qc-L1kjo5RhPr5i8SEAmE9Wcg,Semoga semakin membantu rakyat,5,0,,2024-02-07 19:02:39,,,
a9602c60-1eb8-45cb-9df4-0e6219fe8ec1,Galuh Purwaningsih,https://play-lh.googleusercontent.com/a-/ALV-UjWyU4ePkbTXIjFSEKeceDfiolKSWTAauT3FbPiZ4tIlGsfT,Sangat membantu warga,5,0,4.7.0,2024-02-07 17:46:12,,,4.7.0
6724d496-2bc6-469d-a592-e04b6e93dfca,Janhot Sitohang,https://play-lh.googleusercontent.com/a/ACg8ocIEb4cC830-m1P5zSlL5FnWt4zjOR1jjZMPRtyztlmh=mo,Bagus,5,0,4.7.0,2024-02-07 17:08:23,,,4.7.0
cc952422-8e64-4ee0-af46-9601813616a7,boy,https://play-lh.googleusercontent.com/a-/ALV-UjV-29f8piFGJttqQjOA9llHHFcNGrAUDO1neT7M6bEi-dA,Lumayan,5,0,4.7.0,2024-02-07 16:52:23,,,4.7.0
190c71ec-78f6-4667-bc89-b4e638125519,Alex Men,https://play-lh.googleusercontent.com/a/ACg8ocKRgFLDJ9oF0hNrX_v2wkIgUtvMbZ_VKh3APpTh0Rxg=mo,Tolong lah kenapa aku berbarui malah gk bisa di buka.. Padahal perlu loh oke aplikasi ini karna dirumah sakit harus oke aplikasi i ni,1,0,4.7.0,2024-02-07 16:51:24,,,4.7.0
c897d113-b425-4bf8-98d4-eaac9e417346,Millenia Rahmah,https://play-lh.googleusercontent.com/a-/ALV-UjXdaf5dLTsAOVZRoZvUzceKQcQT7nnYvWZ2AlhmuUxK81A,Aplikasi sangat mudah digunakan dan baik,5,0,4.7.0,2024-02-07 16:35:30,,,4.7.0
df85ac49-4307-4fe6-853a-258da4366114,samuel dhanu,https://play-lh.googleusercontent.com/a/ACg8ocJ20TscUZEXngWUeHneXDPGUubCA_9N6e5GgKlK3roc=mo,tidak bisa buka di hp saya aplikasi ya keterangan ya emulator di hp redmi 8 mohon bantuan ya .,2,0,4.7.0,2024-02-07 16:31:40,,,4.7.0
4aa84549-149d-4cdc-b424-b60b33de77a1,Danang Setiawan,https://play-lh.googleusercontent.com/a-/ALV-UjX8CC5a5llKzu246PYUdBAVwgXzwRL7ZUgg77jBa3_MonY,Aplikasi sangat Bermanfaat,5,0,,2024-02-07 16:25:30,,,
820daa34-b8ee-4177-b537-c5291f46887f,lilik widiyaningsih,https://play-lh.googleusercontent.com/a-/ALV-UjUkUoGqge-eDyUfukNDo12uE2LLSb4tJNWZVB3N0ypwLAU,"Aplikasinya bagus dan sdh bisa antrian online dr faskes 1 dan faskes lanjutan, cuma kurangnya utk antrian online dr faskes lanjutan, surat rujukan hanya bisa dipakai 1 kali antrian, padahal surat rujukan yg dikeluarkan berlaku 3 bulan, jd selanjutnya klo mau antri ya hrs daftar offline jg, masukannya agar aplikasi bisa membaca masa berlaku surat rujukan pasien agar bisa digunakan berkali kali utk daftar online,bintangnya 3 dulu sampai ada update terbaru yg bagus",3,0,4.7.0,2024-02-07 16:14:04,,,4.7.0
12db61b7-e659-4238-b762-32c0ad5bb2dd,Saparudin Husin,https://play-lh.googleusercontent.com/a-/ALV-UjXzEsVXO_QIghelXX_qfve54OIRt4TSW2k1EtcRjlEJ-EA,Ubah faskes mudah,5,0,4.7.0,2024-02-07 16:13:02,,,4.7.0
57f578ea-c2f9-415f-ba7a-50e38e46f2d8,Muhammad Mursid,https://play-lh.googleusercontent.com/a-/ALV-UjWL1U_ecNs2ED51-e8kmpHBuQ_CJBH5eM1oxexQuLUQZlM,Mantappl,5,0,4.7.0,2024-02-07 16:04:43,,,4.7.0
20a500b3-77e5-47be-82fb-6a9ec7568aea,Muhidin Ysei,https://play-lh.googleusercontent.com/a/ACg8ocKD2NoBy5EB2nfoZLCktiGRi-QFT6aycUafUcL5-dZy=mo,Good,5,0,4.7.0,2024-02-07 15:50:40,,,4.7.0
2bc476e3-4185-4a94-8fb7-cd3dcd73f071,Mikhaela Arafah,https://play-lh.googleusercontent.com/a/ACg8ocJg7nf4_1HWeZH1I9ydTSH830dOTJaH0NIESkv5YBJY=mo,Terima kasih atas layanan kesehatan yang baik,5,0,4.7.0,2024-02-07 15:28:17,,,4.7.0
11820aa9-39d9-44b2-a7c8-5d5f98c48f40,Mufas Mara,https://play-lh.googleusercontent.com/a-/ALV-UjUpwRLHIWZRkkc02x9wbRxIu0Q8_aHMb8ySxpJ6QcQBNbY,Mantap,5,0,4.7.0,2024-02-07 15:26:05,,,4.7.0
fd029a88-b6bd-4208-ac01-08bd4232e592,Bramcio Sitepu,https://play-lh.googleusercontent.com/a-/ALV-UjWtnc12vFWgw9zeNX3UA0EW6iJxli8X13LmgFOw8Os-Ej0,aplikasinya helpfull apalagi utk registrasi di kampus 🌟🌟🌟🌟🌟,5,0,4.7.0,2024-02-07 15:22:36,,,4.7.0
